buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
5015.0,5.0,1000.0,0.0,2.952632937250518,5000,5000.0,338.6807725429535
6018.0,6.0,1000.0,0.0,20.728585230458993,6000,6000.0,386.92333245277405
7021.0,7.0,1000.0,1.0,20.729432667999887,7000,7000.0,435.1639196872711
8024.0,8.0,1000.0,0.0,20.56338240711088,8000,8000.0,483.79405212402344
9027.0,9.0,1000.0,0.0,20.594326062603216,9000,9000.0,532.3511166572571
10030.0,10.0,1000.0,0.0,20.58547038120605,10000,10000.0,580.9290697574615
11033.0,11.0,1000.0,0.0,13.53330149548921,11000,11000.0,654.8208696842194
12036.0,12.0,1000.0,0.0,20.59050900040221,12000,12000.0,703.3869352340698
13039.0,13.0,1000.0,0.0,20.5967485659878,13000,13000.0,751.9382882118225
14042.0,14.0,1000.0,0.0,20.583342146706713,14000,14000.0,800.5212640762329
15045.0,15.0,1000.0,0.0,20.598666119405898,15000,15000.0,849.0680975914001
16048.0,16.0,1000.0,0.0,20.661629545202562,16000,16000.0,897.466991186142
17051.0,17.0,1000.0,0.0,20.66215770338033,17000,17000.0,945.8646473884583
18054.0,18.0,1000.0,0.0,20.637331843275735,18000,18000.0,994.3205239772797
19057.0,19.0,1000.0,0.0,20.634913286537063,19000,19000.0,1042.7820799350739
20060.0,20.0,1000.0,0.0,20.58398470248674,20000,20000.0,1091.3635392189026
21063.0,21.0,1000.0,0.0,13.563436316774787,21000,21000.0,1165.0911688804626
22066.0,22.0,1000.0,0.0,20.58538763580948,22000,22000.0,1213.6693172454834
23069.0,23.0,1000.0,0.0,20.59555868295537,23000,23000.0,1262.223474740982
24072.0,24.0,1000.0,0.0,20.577433444027225,24000,24000.0,1310.8204011917114
25075.0,25.0,1000.0,0.0,20.59800514676098,25000,25000.0,1359.368792295456
26078.0,26.0,1000.0,0.0,20.564720422492886,26000,26000.0,1407.9957609176636
27081.0,27.0,1000.0,0.0,20.652521158190588,27000,27000.0,1456.416000366211
