buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
5015.0,5.0,1000.0,19.805121561726818,3.893807027768088,5000,5000.0,256.8180706501007
6018.0,6.0,1000.0,20.423363663698503,15.159931084348395,6000,6000.0,322.7814326286316
7021.0,7.0,1000.0,20.820628791748316,14.867863763635881,7000,7000.0,390.04059195518494
8024.0,8.0,1000.0,43.29840342482615,14.471824139518588,8000,8000.0,459.1403822898865
9027.0,9.0,1000.0,41.70132983834488,14.905691852573236,9000,9000.0,526.2288489341736
10030.0,10.0,1000.0,31.913623676796234,15.19096459976218,10000,10000.0,592.0574541091919
11033.0,11.0,1000.0,9.61445508650783,11.489112243309576,11000,11000.0,679.0963819026947
12036.0,12.0,1000.0,24.81106554038823,15.175005750635359,12000,12000.0,744.994215965271
13039.0,13.0,1000.0,15.084438643334602,15.178526907111438,13000,13000.0,810.8767631053925
14042.0,14.0,1000.0,21.265782776573236,15.153199703648886,14000,14000.0,876.8694264888763
15045.0,15.0,1000.0,29.59545814939181,15.023108802369997,15000,15000.0,943.4335465431213
16048.0,16.0,1000.0,40.47602662698748,14.409647164890796,16000,16000.0,1012.8314990997314
17051.0,17.0,1000.0,20.152812454829903,14.667102190446379,17000,17000.0,1081.0112934112549
18054.0,18.0,1000.0,20.444268488774295,15.133659423097933,18000,18000.0,1147.0891659259796
19057.0,19.0,1000.0,21.34718690850653,15.10896696683986,19000,19000.0,1213.275028705597
20060.0,20.0,1000.0,45.05633456201538,15.111995750125905,20000,20000.0,1279.4476263523102
21063.0,21.0,1000.0,8.126839504034086,11.449028882220308,21000,21000.0,1366.791279554367
22066.0,22.0,1000.0,45.5365476513643,15.124345272214157,22000,22000.0,1432.9098451137543
23069.0,23.0,1000.0,18.157692929219397,15.119362863598468,23000,23000.0,1499.0501990318298
24072.0,24.0,1000.0,11.586457523406452,14.478190085679163,24000,24000.0,1568.1196067333221
25075.0,25.0,1000.0,26.630758146817737,14.567489536453811,25000,25000.0,1636.7656152248383
26078.0,26.0,1000.0,25.36768976473172,15.072313815228414,26000,26000.0,1703.1124293804169
27081.0,27.0,1000.0,30.50166449799532,15.15692156281961,27000,27000.0,1769.0888884067535
28084.0,28.0,1000.0,28.681484530508065,15.126149525230026,28000,28000.0,1835.199566602707
29087.0,29.0,1000.0,10.343494996300432,15.113570556937624,29000,29000.0,1901.3652696609497
30090.0,30.0,1000.0,8.118278225939438,15.087847625712007,30000,30000.0,1967.6437764167786
31093.0,31.0,1000.0,8.32481034982412,11.459317173319107,31000,31000.0,2054.909011363983
32096.0,32.0,1000.0,22.017068558251257,14.696501846260519,32000,32000.0,2122.95241522789
33099.0,33.0,1000.0,57.41337793388677,14.424647403117485,33000,33000.0,2192.278200864792
34102.0,34.0,1000.0,19.486567879645534,14.952782933313468,34000,34000.0,2259.1553847789764
35105.0,35.0,1000.0,18.416600420560716,15.100551076162105,35000,35000.0,2325.378134250641
36108.0,36.0,1000.0,47.19290217395063,15.11058561819763,36000,36000.0,2391.55690741539
37111.0,37.0,1000.0,15.070683729160734,15.098999472916077,37000,37000.0,2457.786461353302
38114.0,38.0,1000.0,17.76941688157824,15.089620543012769,38000,38000.0,2524.0571813583374
39117.0,39.0,1000.0,30.96979440830086,15.076545702296052,39000,39000.0,2590.385373353958
40120.0,40.0,1000.0,24.19528392023442,15.038307562808681,40000,40000.0,2656.882218837738
41123.0,41.0,1000.0,30.367437459355635,11.076912090605848,41000,41000.0,2747.1600868701935
42126.0,42.0,1000.0,26.80719660848717,14.725683024770303,42000,42000.0,2815.0686526298523
43129.0,43.0,1000.0,32.81915438858167,15.09278755762187,43000,43000.0,2881.3254663944244
44132.0,44.0,1000.0,26.070850250236024,15.103086360988,44000,44000.0,2947.5370995998383
45135.0,45.0,1000.0,23.971147226543827,15.079262673904523,45000,45000.0,3013.853340148926
46138.0,46.0,1000.0,29.969197546655906,15.092635491430377,46000,46000.0,3080.1108214855194
