buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
5015.0,5.0,1000.0,109.11333993193608,3.51204405598046,5000,5000.0,284.7344708442688
6018.0,6.0,1000.0,134.20522704147436,10.213519505724083,6000,6000.0,382.6439142227173
7021.0,7.0,1000.0,89.59352381475699,10.165621995675354,7000,7000.0,481.0146789550781
8024.0,8.0,1000.0,181.60749994273087,10.162771373455941,8000,8000.0,579.4130363464355
9027.0,9.0,1000.0,224.42069833981805,9.951355586254314,9000,9000.0,679.9018590450287
10030.0,10.0,1000.0,338.4035418427004,10.152881878357897,10000,10000.0,778.3960621356964
11033.0,11.0,1000.0,148.82768141894397,8.32753535466525,11000,11000.0,898.4796121120453
12036.0,12.0,1000.0,124.09807434542923,9.979468339507228,12000,12000.0,998.6853518486023
13039.0,13.0,1000.0,358.2176801211553,9.718863910822016,13000,13000.0,1101.5780370235443
14042.0,14.0,1000.0,116.87366546075543,10.198421215971607,14000,14000.0,1199.6324307918549
15045.0,15.0,1000.0,274.16458747681673,10.10315897680175,15000,15000.0,1298.611374616623
16048.0,16.0,1000.0,158.63103599287305,10.120918400838601,16000,16000.0,1397.4166376590729
17051.0,17.0,1000.0,118.14426741822518,10.1878265384994,17000,17000.0,1495.5730011463165
18054.0,18.0,1000.0,137.71521807902982,10.189941340973379,18000,18000.0,1593.708993434906
19057.0,19.0,1000.0,116.03984984713395,10.15172239660776,19000,19000.0,1692.214445590973
20060.0,20.0,1000.0,151.21749797220855,9.971520747682993,20000,20000.0,1792.5000519752502
21063.0,21.0,1000.0,237.4136097067472,8.282066028402872,21000,21000.0,1913.2428719997406
22066.0,22.0,1000.0,79.6372621468867,10.104434384004234,22000,22000.0,2012.2093226909637
23069.0,23.0,1000.0,314.72158044356024,10.123704537313424,23000,23000.0,2110.9873943328857
24072.0,24.0,1000.0,98.15647397404356,10.117907072089945,24000,24000.0,2209.8220643997192
25075.0,25.0,1000.0,265.0179352021958,10.152447803468588,25000,25000.0,2308.320478916168
26078.0,26.0,1000.0,153.87816139559422,10.189548252907986,26000,26000.0,2406.460257291794
27081.0,27.0,1000.0,201.91356179105495,10.20048859668761,27000,27000.0,2504.4947781562805
28084.0,28.0,1000.0,155.20295051082394,10.211940201147883,28000,28000.0,2602.4193637371063
29087.0,29.0,1000.0,137.7072303910936,10.00273118682792,29000,29000.0,2702.392059803009
30090.0,30.0,1000.0,108.70844348207073,9.971482509645753,30000,30000.0,2802.6780512332916
31093.0,31.0,1000.0,142.40887158417448,8.497312573238553,31000,31000.0,2920.3623189926147
32096.0,32.0,1000.0,159.5741875418568,9.936525319786044,32000,32000.0,3021.0011212825775
33099.0,33.0,1000.0,190.74190696161324,10.18984239152115,33000,33000.0,3119.1380672454834
34102.0,34.0,1000.0,243.3728388892531,10.21381154780522,34000,34000.0,3217.044710636139
35105.0,35.0,1000.0,146.25027973115883,10.181814979238967,35000,35000.0,3315.2590277194977
36108.0,36.0,1000.0,149.63877356055468,9.964228825608696,36000,36000.0,3415.618024587631
37111.0,37.0,1000.0,242.1125597382028,10.161896152434993,37000,37000.0,3514.0248568058014
38114.0,38.0,1000.0,110.00027930396952,10.056796569441332,38000,38000.0,3613.4600999355316
39117.0,39.0,1000.0,166.03895064549798,10.202294178847659,39000,39000.0,3711.477271080017
40120.0,40.0,1000.0,135.60198190121153,10.204441333669749,40000,40000.0,3809.4738171100616
41123.0,41.0,1000.0,387.4132313038381,8.403030709819413,41000,41000.0,3928.4785001277924
42126.0,42.0,1000.0,117.9356262436179,10.135237866022543,42000,42000.0,4027.1441674232483
43129.0,43.0,1000.0,280.51723333832575,10.10114460094649,43000,43000.0,4126.14284992218
44132.0,44.0,1000.0,331.9731548515165,10.151675712273956,44000,44000.0,4224.648755073547
45135.0,45.0,1000.0,232.0852930846711,10.149312203451617,45000,45000.0,4323.177599906921
46138.0,46.0,1000.0,57.79246189307772,10.083455413274784,46000,46000.0,4422.349953889847
47141.0,47.0,1000.0,95.67182722089674,10.12506027130525,47000,47000.0,4521.114798784256
48144.0,48.0,1000.0,60.24993286863016,10.184531129782634,48000,48000.0,4619.3029227256775
49147.0,49.0,1000.0,102.84629119302528,10.195565777823537,49000,49000.0,4717.384778261185
50150.0,50.0,1000.0,124.47915880990796,10.22105880096438,50000,50000.0,4815.222001075745
51153.0,51.0,1000.0,79.46391793532281,8.539243604568075,51000,51000.0,4932.328392744064
52156.0,52.0,1000.0,50.86180228392818,10.216251107130931,52000,52000.0,5030.21165728569
53159.0,53.0,1000.0,172.222348852889,10.202281919645506,53000,53000.0,5128.228945732117
54162.0,54.0,1000.0,191.8486239752357,10.172268141324249,54000,54000.0,5226.535438776016
55165.0,55.0,1000.0,288.12070449392036,9.784647812408835,55000,55000.0,5328.736358642578
56168.0,56.0,1000.0,218.1650548009883,10.177433111818896,56000,56000.0,5426.992961883545
57171.0,57.0,1000.0,148.21973389944833,10.249050191566619,57000,57000.0,5524.562979459763
58174.0,58.0,1000.0,119.76785485095701,10.216379013381912,58000,58000.0,5622.445018291473
59177.0,59.0,1000.0,120.55452227698125,9.911017798340161,59000,59000.0,5723.342830657959
60180.0,60.0,1000.0,119.48762679207329,10.186564307777678,60000,60000.0,5821.5113570690155
61183.0,61.0,1000.0,284.8734402373047,8.514239209574699,61000,61000.0,5938.961663722992
