buffer_size,episode,episode_length,episode_reward,fps,frame,step,total_time
5015.0,5.0,1000.0,295.1519801440157,4.631802099353824,5000,5000.0,215.8986918926239
6018.0,6.0,1000.0,162.59869560005592,27.218011083585605,6000,6000.0,252.6390700340271
7021.0,7.0,1000.0,159.4612292151502,27.200049379362106,7000,7000.0,289.40371012687683
8024.0,8.0,1000.0,157.75180128468534,27.207588356061063,8000,8000.0,326.15816283226013
9027.0,9.0,1000.0,160.05723015610553,27.20917862423069,9000,9000.0,362.91046714782715
10030.0,10.0,1000.0,259.3078328786645,27.21546191303459,10000,10000.0,399.6542863845825
11033.0,11.0,1000.0,157.8578896072011,17.938384490127365,11000,11000.0,455.4006669521332
12036.0,12.0,1000.0,153.40904575436969,27.23064088017959,12000,12000.0,492.1240043640137
13039.0,13.0,1000.0,157.26100799220302,27.218543089333817,13000,13000.0,528.863664150238
14042.0,14.0,1000.0,162.69667932569695,27.220655950920808,14000,14000.0,565.6004724502563
15045.0,15.0,1000.0,158.30319648308267,27.213759141001365,15000,15000.0,602.3465909957886
16048.0,16.0,1000.0,160.75595702077723,27.20887855940403,16000,16000.0,639.0993006229401
17051.0,17.0,1000.0,155.10803624965703,27.215303863934224,17000,17000.0,675.8433332443237
18054.0,18.0,1000.0,216.06598162554,27.208271566146266,18000,18000.0,712.5968625545502
19057.0,19.0,1000.0,186.09335867901788,27.21374889993928,19000,19000.0,749.3429951667786
20060.0,20.0,1000.0,156.34897601085203,27.217286409347842,20000,20000.0,786.0843510627747
21063.0,21.0,1000.0,157.1285986339225,17.961772555596532,21000,21000.0,841.7581441402435
22066.0,22.0,1000.0,173.2596043376078,27.216346492110358,22000,22000.0,878.5007693767548
23069.0,23.0,1000.0,153.3224480001118,27.211331695209658,23000,23000.0,915.2501661777496
24072.0,24.0,1000.0,204.95460872292898,27.218824643952118,24000,24000.0,951.9894461631775
25075.0,25.0,1000.0,346.8932372124467,27.213866319475603,25000,25000.0,988.7354197502136
26078.0,26.0,1000.0,166.16434799173436,27.226944188783893,26000,26000.0,1025.463743686676
27081.0,27.0,1000.0,358.3272267882707,27.220020521135925,27000,27000.0,1062.2014093399048
28084.0,28.0,1000.0,425.51962617520786,27.229458034779377,28000,28000.0,1098.926342010498
29087.0,29.0,1000.0,323.74499948150986,27.228399907463906,29000,29000.0,1135.6527018547058
30090.0,30.0,1000.0,242.25921827417397,27.228986763776433,30000,30000.0,1172.3782703876495
31093.0,31.0,1000.0,860.9772959063777,17.990621766284473,31000,31000.0,1227.9627866744995
32096.0,32.0,1000.0,863.4427232350084,27.225460526926888,32000,32000.0,1264.693111896515
33099.0,33.0,1000.0,850.1351130168731,27.208917567457235,33000,33000.0,1301.4457688331604
34102.0,34.0,1000.0,866.588830766438,27.210886119069606,34000,34000.0,1338.1957669258118
35105.0,35.0,1000.0,889.578520060866,27.215145286905255,35000,35000.0,1374.9400136470795
36108.0,36.0,1000.0,893.3510280307632,27.21127996949703,36000,36000.0,1411.6894798278809
37111.0,37.0,1000.0,585.625612685401,27.209991480140253,37000,37000.0,1448.440686225891
38114.0,38.0,1000.0,438.7443479121108,27.211082424984372,38000,38000.0,1485.1904191970825
39117.0,39.0,1000.0,425.6672763537221,27.21063668047806,39000,39000.0,1521.9407546520233
40120.0,40.0,1000.0,884.7997600993325,27.20995917679634,40000,40000.0,1558.692004442215
41123.0,41.0,1000.0,881.2781595167602,18.00640346987868,41000,41000.0,1614.2278037071228
42126.0,42.0,1000.0,886.8669175981161,27.227987178793654,42000,42000.0,1650.9547202587128
43129.0,43.0,1000.0,888.0143359828445,27.219414973736143,43000,43000.0,1687.6932032108307
44132.0,44.0,1000.0,895.6098680334367,27.218833299111083,44000,44000.0,1724.4324715137482
45135.0,45.0,1000.0,904.223924872654,27.219183219433354,45000,45000.0,1761.1712672710419
46138.0,46.0,1000.0,911.0432224639777,27.208431651590317,46000,46000.0,1797.9245808124542
47141.0,47.0,1000.0,909.6955221205739,27.206905180286327,47000,47000.0,1834.6799566745758
48144.0,48.0,1000.0,905.0894008901035,27.20580080593646,48000,48000.0,1871.436824798584
49147.0,49.0,1000.0,917.2085034847254,27.1980046178268,49000,49000.0,1908.204228401184
50150.0,50.0,1000.0,909.0531029355446,27.202344436064184,50000,50000.0,1944.965765953064
51153.0,51.0,1000.0,918.9986152426654,17.968722414558727,51000,51000.0,2000.6180260181427
52156.0,52.0,1000.0,920.7305446179681,27.21064303554464,52000,52000.0,2037.3683524131775
53159.0,53.0,1000.0,919.3087094026209,27.211084896479772,53000,53000.0,2074.118082523346
54162.0,54.0,1000.0,918.0168146397816,27.206558046248354,54000,54000.0,2110.873927116394
55165.0,55.0,1000.0,925.8561757062051,27.212364308688105,55000,55000.0,2147.621929168701
56168.0,56.0,1000.0,925.0708143146769,27.209614789083293,56000,56000.0,2184.3736441135406
57171.0,57.0,1000.0,927.579439927577,27.20745051804122,57000,57000.0,2221.1282827854156
58174.0,58.0,1000.0,925.57948049732,27.207514759915107,58000,58000.0,2257.882835149765
59177.0,59.0,1000.0,926.5779226454077,27.20242417904653,59000,59000.0,2294.6442651748657
60180.0,60.0,1000.0,920.6549980680259,27.195579629009803,60000,60000.0,2331.4149475097656
61183.0,61.0,1000.0,928.483323830725,17.944150982865622,61000,61000.0,2387.143413543701
62186.0,62.0,1000.0,931.3161726025837,27.207972050810405,62000,62000.0,2423.897347688675
63189.0,63.0,1000.0,932.1739803342107,27.199187025031982,63000,63000.0,2460.6631529331207
64192.0,64.0,1000.0,933.4651058764392,27.19667082927993,64000,64000.0,2497.4323596954346
65195.0,65.0,1000.0,938.9307312156176,27.262933265352107,65000,65000.0,2534.1121990680695
66198.0,66.0,1000.0,938.2589629302594,27.25865115603691,66000,66000.0,2570.797800540924
67201.0,67.0,1000.0,942.1674834298858,27.25313590099218,67000,67000.0,2607.490826368332
68204.0,68.0,1000.0,941.6964413988262,27.20053023311441,68000,68000.0,2644.2548162937164
69207.0,69.0,1000.0,945.461617510529,27.19650206488449,69000,69000.0,2681.0242512226105
70210.0,70.0,1000.0,943.972071630638,27.200894324447987,70000,70000.0,2717.7877490520477
71213.0,71.0,1000.0,948.1093827971968,17.975766942395975,71000,71000.0,2773.4181995391846
72216.0,72.0,1000.0,946.7081393897071,27.25110528228351,72000,72000.0,2810.1139590740204
73219.0,73.0,1000.0,951.3265112324589,27.258209343303033,73000,73000.0,2846.8001556396484
74222.0,74.0,1000.0,946.1719931393278,27.246019262812663,74000,74000.0,2883.502765417099
75225.0,75.0,1000.0,948.8994187580046,27.236038264444648,75000,75000.0,2920.2188255786896
76228.0,76.0,1000.0,954.2503636136461,27.23615605326546,76000,76000.0,2956.9347269535065
77231.0,77.0,1000.0,954.9786943053602,27.23253212598812,77000,77000.0,2993.6555140018463
78234.0,78.0,1000.0,958.4804605568155,27.229814415582315,78000,78000.0,3030.3799662590027
79237.0,79.0,1000.0,959.7223598738387,27.228196988335647,79000,79000.0,3067.1065998077393
80240.0,80.0,1000.0,959.8554404943718,27.224903333932662,80000,80000.0,3103.8376767635345
81243.0,81.0,1000.0,961.1872223017226,18.007438843008455,81000,81000.0,3159.370282649994
82246.0,82.0,1000.0,960.0164343149237,27.25822245221567,82000,82000.0,3196.0564613342285
83249.0,83.0,1000.0,962.6463310471312,27.248564602037604,83000,83000.0,3232.75564289093
84252.0,84.0,1000.0,965.924144026396,27.248300133668756,84000,84000.0,3269.4551804065704
85255.0,85.0,1000.0,966.1688676930764,27.24673679501312,85000,85000.0,3306.1568236351013
86258.0,86.0,1000.0,966.569793304244,27.254599557744623,86000,86000.0,3342.8478786945343
87261.0,87.0,1000.0,969.0383923434473,27.25459265082816,87000,87000.0,3379.538943052292
88264.0,88.0,1000.0,966.2035585211792,27.24466341774977,88000,88000.0,3416.243379354477
89267.0,89.0,1000.0,970.2269094559429,27.239613945099986,89000,89000.0,3452.9546196460724
90270.0,90.0,1000.0,971.1478921335288,27.24635713895581,90000,90000.0,3489.656774520874
91273.0,91.0,1000.0,975.0761075994798,18.004234697730766,91000,91000.0,3545.199263572693
92276.0,92.0,1000.0,973.2228040817679,27.18158624426277,92000,92000.0,3581.9888756275177
